                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.80494,                0.47698,                  1.012,                 0.9616,                0.89089,                0.95159,                0.70888,                0.85933,                0.49408,                 1.0686,              0.0095347,              0.0095347,              0.0095347
                     49,                0.81898,                0.48237,                 1.0163,                0.96421,                0.88439,                0.95528,                0.72385,                0.79806,                0.48797,                 1.0245,              0.0095248,              0.0095248,              0.0095248
                     50,                0.81785,                0.47588,                 1.0179,                 0.9364,                0.91127,                0.94367,                0.71445,                 0.8351,                0.48628,                 1.0485,              0.0095149,              0.0095149,              0.0095149
                     51,                0.81306,                0.47489,                 1.0135,                0.91425,                0.92588,                0.94638,                0.70858,                0.85523,                0.48371,                 1.0685,               0.009505,               0.009505,               0.009505
                     52,                0.80008,                0.46713,                 1.0062,                0.93099,                0.90892,                0.95424,                0.71894,                 0.8536,                0.47274,                 1.0568,              0.0094951,              0.0094951,              0.0094951
                     53,                0.80549,                0.46967,                 1.0103,                0.93415,                 0.8941,                0.94826,                0.71523,                0.81572,                0.46247,                 1.0457,              0.0094852,              0.0094852,              0.0094852
                     54,                 0.7851,                0.46718,                 0.9978,                0.95066,                 0.9005,                0.96149,                0.72469,                 0.8342,                0.46701,                 1.0457,              0.0094753,              0.0094753,              0.0094753
                     55,                0.79599,                 0.4685,                 1.0067,                0.94974,                0.91888,                0.96233,                0.72155,                0.83804,                0.48396,                 1.0525,              0.0094654,              0.0094654,              0.0094654
                     56,                 0.7901,                0.46564,                 1.0036,                0.95605,                0.91538,                0.95761,                0.73528,                0.80407,                 0.4569,                 1.0329,              0.0094555,              0.0094555,              0.0094555
                     57,                0.78488,                0.45765,                 1.0031,                0.93806,                0.89414,                0.95723,                0.71942,                0.83455,                0.46545,                 1.0394,              0.0094456,              0.0094456,              0.0094456
                     58,                0.79127,                0.46549,                 1.0021,                0.95622,                0.89674,                0.95119,                0.72437,                0.82745,                0.48517,                 1.0418,              0.0094357,              0.0094357,              0.0094357
                     59,                0.77211,                0.45164,                0.99289,                0.95055,                 0.8974,                0.95195,                0.73448,                 0.8296,                0.46006,                 1.0591,              0.0094258,              0.0094258,              0.0094258
                     60,                0.77879,                0.45465,                 1.0052,                0.96115,                0.92067,                0.94688,                0.73864,                0.81139,                0.46293,                 1.0396,              0.0094159,              0.0094159,              0.0094159
                     61,                 0.7822,                0.45896,                0.99629,                0.96165,                0.90136,                0.95835,                 0.7392,                0.80872,                 0.4593,                  1.045,               0.009406,               0.009406,               0.009406
                     62,                0.78116,                0.45738,                0.99823,                0.94082,                0.89624,                0.94459,                0.73068,                 0.8126,                0.45725,                 1.0478,              0.0093961,              0.0093961,              0.0093961
                     63,                0.78382,                0.45635,                0.99645,                0.93159,                0.91343,                0.94677,                0.73719,                0.79993,                0.45965,                 1.0292,              0.0093862,              0.0093862,              0.0093862
                     64,                0.76773,                0.44922,                 0.9885,                0.94702,                0.91699,                0.96403,                0.74116,                0.78516,                0.44151,                 1.0264,              0.0093763,              0.0093763,              0.0093763
                     65,                0.76983,                0.44683,                0.98943,                0.95141,                0.90951,                0.97478,                0.74818,                0.80445,                0.43882,                 1.0385,              0.0093664,              0.0093664,              0.0093664
                     66,                0.76249,                0.43913,                0.99138,                0.95566,                0.90308,                0.96367,                0.74765,                0.79267,                0.44194,                 1.0286,              0.0093565,              0.0093565,              0.0093565
                     67,                0.76537,                0.44506,                 0.9927,                0.96941,                0.88775,                0.94408,                0.73701,                0.79622,                0.45425,                 1.0152,              0.0093466,              0.0093466,              0.0093466
                     68,                0.75447,                0.43656,                0.99261,                0.96206,                0.88906,                0.94818,                 0.7337,                0.80094,                0.45053,                 1.0205,              0.0093367,              0.0093367,              0.0093367
                     69,                0.75418,                0.43519,                0.98221,                0.93801,                0.88669,                0.94785,                0.73434,                0.79027,                 0.4518,                 1.0207,              0.0093268,              0.0093268,              0.0093268
                     70,                0.75837,                0.44153,                0.99267,                0.94646,                0.91696,                0.97163,                0.74695,                0.78889,                0.43847,                 1.0345,              0.0093169,              0.0093169,              0.0093169
                     71,                0.76134,                0.43682,                0.98353,                0.94108,                0.91247,                0.95547,                0.73221,                0.81428,                0.45115,                 1.0398,               0.009307,               0.009307,               0.009307
