                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 0.6202,                0.35586,                0.92716,                0.94064,                0.95245,                0.97634,                 0.7846,                0.70716,                0.37111,                0.98185,              0.0090694,              0.0090694,              0.0090694
                     96,                0.60788,                0.34812,                0.92263,                0.95343,                0.92635,                0.98037,                0.78945,                0.71074,                0.37625,                0.98297,              0.0090595,              0.0090595,              0.0090595
                     97,                0.60957,                0.34977,                0.92877,                0.94779,                0.92954,                0.97308,                0.79641,                0.68462,                0.37241,                0.96835,              0.0090496,              0.0090496,              0.0090496
                     98,                0.60709,                0.34841,                0.92041,                0.95293,                0.94179,                0.97258,                 0.7908,                0.69868,                0.36287,                0.98307,              0.0090397,              0.0090397,              0.0090397
                     99,                0.60757,                0.34634,                0.92363,                0.95747,                0.92037,                0.97729,                0.79172,                0.68022,                0.35971,                0.96733,              0.0090298,              0.0090298,              0.0090298
                    100,                0.60429,                0.34315,                0.92184,                0.94401,                0.95494,                 0.9789,                0.78875,                0.68557,                0.36165,                0.97038,              0.0090199,              0.0090199,              0.0090199
                    101,                0.61007,                0.34981,                0.92553,                0.95058,                0.93966,                0.97395,                0.78071,                0.70826,                0.37306,                0.99724,                0.00901,                0.00901,                0.00901
                    102,                 0.6032,                0.34585,                0.92373,                0.95109,                0.93783,                0.97416,                0.79381,                0.70145,                0.38189,                 0.9924,              0.0090001,              0.0090001,              0.0090001
                    103,                0.60269,                 0.3468,                0.91985,                0.93493,                0.95135,                0.96924,                0.78187,                 0.6993,                0.37046,                0.99564,              0.0089902,              0.0089902,              0.0089902
                    104,                0.59719,                0.34302,                0.91982,                0.95578,                0.93892,                0.97325,                 0.8004,                0.68193,                0.35867,                 0.9841,              0.0089803,              0.0089803,              0.0089803
                    105,                0.60573,                0.34797,                0.92594,                0.95059,                0.92635,                0.97221,                0.78689,                0.69224,                0.36586,                0.97918,              0.0089704,              0.0089704,              0.0089704
                    106,                0.60138,                 0.3416,                0.92146,                0.93711,                0.94298,                0.97414,                0.78613,                0.70042,                0.36622,                0.99141,              0.0089605,              0.0089605,              0.0089605
                    107,                0.59733,                0.34156,                0.91896,                0.95862,                0.92134,                0.97805,                0.79168,                0.68761,                  0.368,                0.97524,              0.0089506,              0.0089506,              0.0089506
                    108,                0.59921,                 0.3474,                0.92232,                0.96826,                0.92281,                0.97663,                0.79039,                0.69561,                0.36829,                0.97165,              0.0089407,              0.0089407,              0.0089407
                    109,                0.59427,                0.34153,                0.91796,                0.96672,                0.93176,                0.98218,                0.79614,                0.68313,                0.35943,                0.96231,              0.0089308,              0.0089308,              0.0089308
                    110,                0.60597,                0.34648,                0.92305,                0.94696,                0.93469,                0.97166,                0.79302,                  0.682,                0.35245,                0.97391,              0.0089209,              0.0089209,              0.0089209
